,Kecamatan,DaerahTingkatDua,Provinsi,KodeWilayah
5645,Bantargadung,Kab. Sukabumi,Jawa Barat,320204
5646,Bojonggenteng (Bojong Genteng),Kab. Sukabumi,Jawa Barat,320214
5647,Caringin,Kab. Sukabumi,Jawa Barat,320231
5648,Ciambar,Kab. Sukabumi,Jawa Barat,320247
5649,Cibadak,Kab. Sukabumi,Jawa Barat,320211
5650,Cibitung,Kab. Sukabumi,Jawa Barat,320225
5651,Cicantayan,Kab. Sukabumi,Jawa Barat,320228
5652,Cicurug,Kab. Sukabumi,Jawa Barat,320216
5653,Cidadap,Kab. Sukabumi,Jawa Barat,320244
5654,Cidahu,Kab. Sukabumi,Jawa Barat,320217
5655,Cidolog,Kab. Sukabumi,Jawa Barat,320243
5656,Ciemas,Kab. Sukabumi,Jawa Barat,320222
5657,Cikakak,Kab. Sukabumi,Jawa Barat,320203
5658,Cikembar,Kab. Sukabumi,Jawa Barat,320210
5659,Cikidang,Kab. Sukabumi,Jawa Barat,320206
5660,Cimanggu,Kab. Sukabumi,Jawa Barat,320246
5661,Ciracap,Kab. Sukabumi,Jawa Barat,320226
5662,Cireunghas,Kab. Sukabumi,Jawa Barat,320235
5663,Cisaat,Kab. Sukabumi,Jawa Barat,320229
5664,Cisolok,Kab. Sukabumi,Jawa Barat,320205
5665,Curugkembar,Kab. Sukabumi,Jawa Barat,320242
5666,Gegerbitung (Geger Bitung),Kab. Sukabumi,Jawa Barat,320240
5667,Gunungguruh,Kab. Sukabumi,Jawa Barat,320227
5668,Jampangkulon (Jampang Kulon),Kab. Sukabumi,Jawa Barat,320221
5669,Jampangtengah (Jampang Tengah),Kab. Sukabumi,Jawa Barat,320208
5670,Kabandungan,Kab. Sukabumi,Jawa Barat,320219
5671,Kadudampit,Kab. Sukabumi,Jawa Barat,320230
5672,Kalapanunggal (Kalapa Nunggal),Kab. Sukabumi,Jawa Barat,320218
5673,Kalibunder,Kab. Sukabumi,Jawa Barat,320223
5674,Kebonpedes,Kab. Sukabumi,Jawa Barat,320234
5675,Lengkong,Kab. Sukabumi,Jawa Barat,320207
5676,Nagrak,Kab. Sukabumi,Jawa Barat,320212
5677,Nyalindung,Kab. Sukabumi,Jawa Barat,320239
5678,Pabuaran,Kab. Sukabumi,Jawa Barat,320237
5679,Palabuhanratu (Pelabuhanratu),Kab. Sukabumi,Jawa Barat,320201
5680,Parakansalak (Parakan Salak),Kab. Sukabumi,Jawa Barat,320215
5681,Parungkuda (Parung Kuda),Kab. Sukabumi,Jawa Barat,320213
5682,Purabaya,Kab. Sukabumi,Jawa Barat,320238
5683,Sagaranten,Kab. Sukabumi,Jawa Barat,320241
5684,Simpenan,Kab. Sukabumi,Jawa Barat,320202
5685,Sukabumi,Kab. Sukabumi,Jawa Barat,320232
5686,Sukalarang,Kab. Sukabumi,Jawa Barat,320236
5687,Sukaraja,Kab. Sukabumi,Jawa Barat,320233
5688,Surade,Kab. Sukabumi,Jawa Barat,320224
5689,Tegalbuleud,Kab. Sukabumi,Jawa Barat,320245
5690,Waluran,Kab. Sukabumi,Jawa Barat,320220
5691,Warungkiara,Kab. Sukabumi,Jawa Barat,320209
5692,Agrabinta,Kab. Cianjur,Jawa Barat,320322
5693,Bojongpicung,Kab. Cianjur,Jawa Barat,320306
5694,Campaka,Kab. Cianjur,Jawa Barat,320315
5695,Campakamulya (Campaka Mulya),Kab. Cianjur,Jawa Barat,320325
5696,Cianjur,Kab. Cianjur,Jawa Barat,320301
5697,Cibeber,Kab. Cianjur,Jawa Barat,320303
5698,Cibinong,Kab. Cianjur,Jawa Barat,320320
5699,Cidaun,Kab. Cianjur,Jawa Barat,320323
5700,Cijati,Kab. Cianjur,Jawa Barat,320329
5701,Cikadu,Kab. Cianjur,Jawa Barat,320326
5702,Cikalongkulon,Kab. Cianjur,Jawa Barat,320312
5703,Cilaku,Kab. Cianjur,Jawa Barat,320304
5704,Cipanas,Kab. Cianjur,Jawa Barat,320328
5705,Ciranjang,Kab. Cianjur,Jawa Barat,320305
5706,Cugenang,Kab. Cianjur,Jawa Barat,320311
5707,Gekbrong,Kab. Cianjur,Jawa Barat,320327
5708,Haurwangi,Kab. Cianjur,Jawa Barat,320331
5709,Kadupandak,Kab. Cianjur,Jawa Barat,320317
5710,Karangtengah,Kab. Cianjur,Jawa Barat,320307
5711,Leles,Kab. Cianjur,Jawa Barat,320330
5712,Mande,Kab. Cianjur,Jawa Barat,320308
5713,Naringgul,Kab. Cianjur,Jawa Barat,320324
5714,Pacet,Kab. Cianjur,Jawa Barat,320310
5715,Pagelaran,Kab. Cianjur,Jawa Barat,320318
5716,Pasirkuda,Kab. Cianjur,Jawa Barat,320332
5717,Sindangbarang,Kab. Cianjur,Jawa Barat,320321
5718,Sukaluyu,Kab. Cianjur,Jawa Barat,320309
5719,Sukanagara,Kab. Cianjur,Jawa Barat,320314
5720,Sukaresmi,Kab. Cianjur,Jawa Barat,320313
5721,Takokak,Kab. Cianjur,Jawa Barat,320316
5722,Tanggeung,Kab. Cianjur,Jawa Barat,320319
5723,Warungkondang,Kab. Cianjur,Jawa Barat,320302
5724,Arjasari,Kab. Bandung,Jawa Barat,320416
5725,Baleendah,Kab. Bandung,Jawa Barat,320432
5726,Banjaran,Kab. Bandung,Jawa Barat,320413
5727,Bojongsoang,Kab. Bandung,Jawa Barat,320408
5728,Cangkuang,Kab. Bandung,Jawa Barat,320444
5729,Cicalengka,Kab. Bandung,Jawa Barat,320425
5730,Cikancung,Kab. Bandung,Jawa Barat,320427
5731,Cilengkrang,Kab. Bandung,Jawa Barat,320407
5732,Cileunyi,Kab. Bandung,Jawa Barat,320405
5733,Cimaung,Kab. Bandung,Jawa Barat,320417
5734,Cimenyan (Cimeunyan),Kab. Bandung,Jawa Barat,320406
5735,Ciparay,Kab. Bandung,Jawa Barat,320429
5736,Ciwidey,Kab. Bandung,Jawa Barat,320439
5737,Dayeuhkolot,Kab. Bandung,Jawa Barat,320412
5738,Ibun,Kab. Bandung,Jawa Barat,320436
5739,Katapang,Kab. Bandung,Jawa Barat,320411
5740,Kertasari,Kab. Bandung,Jawa Barat,320431
5741,Kutawaringin,Kab. Bandung,Jawa Barat,320446
5742,Majalaya,Kab. Bandung,Jawa Barat,320433
5743,Margaasih,Kab. Bandung,Jawa Barat,320410
5744,Margahayu,Kab. Bandung,Jawa Barat,320409
5745,Nagreg,Kab. Bandung,Jawa Barat,320426
5746,Pacet,Kab. Bandung,Jawa Barat,320430
5747,Pameungpeuk,Kab. Bandung,Jawa Barat,320414
5748,Pangalengan,Kab. Bandung,Jawa Barat,320415
5749,Paseh,Kab. Bandung,Jawa Barat,320435
5750,Pasirjambu,Kab. Bandung,Jawa Barat,320438
5751,Rancabali (Ranca Bali),Kab. Bandung,Jawa Barat,320440
5752,Rancaekek,Kab. Bandung,Jawa Barat,320428
5753,Solokanjeruk (Solokan Jeruk),Kab. Bandung,Jawa Barat,320434
5754,Soreang,Kab. Bandung,Jawa Barat,320437
5755,Banjarwangi,Kab. Garut,Jawa Barat,320523
5756,Banyuresmi,Kab. Garut,Jawa Barat,320506
5757,Bayongbong,Kab. Garut,Jawa Barat,320517
5758,Blubur Limbangan,Kab. Garut,Jawa Barat,320538
5759,Bungbulang,Kab. Garut,Jawa Barat,320531
5760,Caringin,Kab. Garut,Jawa Barat,320536
5761,Cibalong,Kab. Garut,Jawa Barat,320529
5762,Cibatu,Kab. Garut,Jawa Barat,320512
5763,Cibiuk,Kab. Garut,Jawa Barat,320540
5764,Cigedug,Kab. Garut,Jawa Barat,320518
5765,Cihurip,Kab. Garut,Jawa Barat,320525
5766,Cikajang,Kab. Garut,Jawa Barat,320522
5767,Cikelet,Kab. Garut,Jawa Barat,320530
5768,Cilawu,Kab. Garut,Jawa Barat,320519
5769,Cisewu,Kab. Garut,Jawa Barat,320535
5770,Cisompet,Kab. Garut,Jawa Barat,320528
5771,Cisurupan,Kab. Garut,Jawa Barat,320520
5772,Garut Kota,Kab. Garut,Jawa Barat,320501
5773,Kadungora,Kab. Garut,Jawa Barat,320510
5774,Karangpawitan,Kab. Garut,Jawa Barat,320502
5775,Karangtengah,Kab. Garut,Jawa Barat,320516
5776,Kersamanah,Kab. Garut,Jawa Barat,320513
5777,Leles,Kab. Garut,Jawa Barat,320509
5778,Leuwigoong,Kab. Garut,Jawa Barat,320511
5779,Malangbong,Kab. Garut,Jawa Barat,320514
5780,Mekarmukti,Kab. Garut,Jawa Barat,320532
5781,Pakenjeng,Kab. Garut,Jawa Barat,320533
5782,Pameungpeuk,Kab. Garut,Jawa Barat,320527
5783,Pamulihan,Kab. Garut,Jawa Barat,320534
5784,Pangatikan,Kab. Garut,Jawa Barat,320541
5785,Pasirwangi,Kab. Garut,Jawa Barat,320508
5786,Peundeuy,Kab. Garut,Jawa Barat,320526
5787,Samarang,Kab. Garut,Jawa Barat,320507
5788,Selaawi,Kab. Garut,Jawa Barat,320539
5789,Singajaya,Kab. Garut,Jawa Barat,320524
5790,Sucinaraja,Kab. Garut,Jawa Barat,320542
5791,Sukaresmi,Kab. Garut,Jawa Barat,320521
5792,Sukawening,Kab. Garut,Jawa Barat,320515
5793,Talegong,Kab. Garut,Jawa Barat,320537
5794,Tarogong Kaler,Kab. Garut,Jawa Barat,320504
5795,Tarogong Kidul,Kab. Garut,Jawa Barat,320505
5796,Wanaraja,Kab. Garut,Jawa Barat,320503
5797,Bantarkalong,Kab. Tasikmalaya,Jawa Barat,320608
5798,Bojongasih,Kab. Tasikmalaya,Jawa Barat,320609
5799,Bojonggambir,Kab. Tasikmalaya,Jawa Barat,320611
5800,Ciawi,Kab. Tasikmalaya,Jawa Barat,320636
5801,Cibalong,Kab. Tasikmalaya,Jawa Barat,320606
5802,Cigalontang,Kab. Tasikmalaya,Jawa Barat,320627
5803,Cikalong,Kab. Tasikmalaya,Jawa Barat,320603
5804,Cikatomas,Kab. Tasikmalaya,Jawa Barat,320605
5805,Cineam,Kab. Tasikmalaya,Jawa Barat,320620
5806,Cipatujah,Kab. Tasikmalaya,Jawa Barat,320601
5807,Cisayong,Kab. Tasikmalaya,Jawa Barat,320632
5808,Culamega,Kab. Tasikmalaya,Jawa Barat,320610
5809,Gunung Tanjung,Kab. Tasikmalaya,Jawa Barat,320623
5810,Jamanis,Kab. Tasikmalaya,Jawa Barat,320635
5811,Jatiwaras,Kab. Tasikmalaya,Jawa Barat,320619
5812,Kadipaten,Kab. Tasikmalaya,Jawa Barat,320637
5813,Karang Jaya,Kab. Tasikmalaya,Jawa Barat,320621
5814,Karangnunggal,Kab. Tasikmalaya,Jawa Barat,320602
5815,Leuwisari,Kab. Tasikmalaya,Jawa Barat,320628
5816,Mangunreja,Kab. Tasikmalaya,Jawa Barat,320625
5817,Manonjaya,Kab. Tasikmalaya,Jawa Barat,320622
5818,Padakembang,Kab. Tasikmalaya,Jawa Barat,320629
5819,Pagerageung,Kab. Tasikmalaya,Jawa Barat,320638
5820,Pancatengah,Kab. Tasikmalaya,Jawa Barat,320604
5821,Parungponteng,Kab. Tasikmalaya,Jawa Barat,320607
5822,Puspahiang,Kab. Tasikmalaya,Jawa Barat,320615
5823,Rajapolah,Kab. Tasikmalaya,Jawa Barat,320634
5824,Salawu,Kab. Tasikmalaya,Jawa Barat,320614
5825,Salopa,Kab. Tasikmalaya,Jawa Barat,320618
5826,Sariwangi,Kab. Tasikmalaya,Jawa Barat,320630
5827,Singaparna,Kab. Tasikmalaya,Jawa Barat,320624
5828,Sodonghilir,Kab. Tasikmalaya,Jawa Barat,320612
5829,Sukahening,Kab. Tasikmalaya,Jawa Barat,320633
5830,Sukaraja,Kab. Tasikmalaya,Jawa Barat,320617
5831,Sukarame,Kab. Tasikmalaya,Jawa Barat,320626
5832,Sukaratu,Kab. Tasikmalaya,Jawa Barat,320631
5833,Sukaresik,Kab. Tasikmalaya,Jawa Barat,320639
5834,Tanjungjaya,Kab. Tasikmalaya,Jawa Barat,320616
5835,Taraju,Kab. Tasikmalaya,Jawa Barat,320613
5836,Banjaranyar,Kab. Ciamis,Jawa Barat,320737
5837,Banjarsari,Kab. Ciamis,Jawa Barat,320718
5838,Baregbeg,Kab. Ciamis,Jawa Barat,320732
5839,Ciamis,Kab. Ciamis,Jawa Barat,320701
5840,Cidolog,Kab. Ciamis,Jawa Barat,320705
5841,Cihaurbeuti,Kab. Ciamis,Jawa Barat,320706
5842,Cijeungjing,Kab. Ciamis,Jawa Barat,320703
5843,Cikoneng,Kab. Ciamis,Jawa Barat,320702
5844,Cimaragas,Kab. Ciamis,Jawa Barat,320729
5845,Cipaku,Kab. Ciamis,Jawa Barat,320711
5846,Cisaga,Kab. Ciamis,Jawa Barat,320730
5847,Jatinagara,Kab. Ciamis,Jawa Barat,320712
5848,Kawali,Kab. Ciamis,Jawa Barat,320709
5849,Lakbok,Kab. Ciamis,Jawa Barat,320717
5850,Lumbung,Kab. Ciamis,Jawa Barat,320734
5851,Pamarican,Kab. Ciamis,Jawa Barat,320719
5852,Panawangan,Kab. Ciamis,Jawa Barat,320710
5853,Panjalu,Kab. Ciamis,Jawa Barat,320708
5854,Panumbangan,Kab. Ciamis,Jawa Barat,320707
5855,Purwadadi,Kab. Ciamis,Jawa Barat,320735
5856,Rajadesa,Kab. Ciamis,Jawa Barat,320713
5857,Rancah,Kab. Ciamis,Jawa Barat,320715
5858,Sadananya,Kab. Ciamis,Jawa Barat,320704
5859,Sindangkasih,Kab. Ciamis,Jawa Barat,320731
5860,Sukadana,Kab. Ciamis,Jawa Barat,320714
5861,Sukamantri,Kab. Ciamis,Jawa Barat,320733
5862,Tambaksari,Kab. Ciamis,Jawa Barat,320716
5863,Ciawigebang,Kab. Kuningan,Jawa Barat,320810
5864,Cibeureum,Kab. Kuningan,Jawa Barat,320828
5865,Cibingbin,Kab. Kuningan,Jawa Barat,320805
5866,Cidahu,Kab. Kuningan,Jawa Barat,320811
5867,Cigandamekar,Kab. Kuningan,Jawa Barat,320832
5868,Cigugur,Kab. Kuningan,Jawa Barat,320818
5869,Cilebak,Kab. Kuningan,Jawa Barat,320825
5870,Cilimus,Kab. Kuningan,Jawa Barat,320813
5871,Cimahi,Kab. Kuningan,Jawa Barat,320824
5872,Ciniru,Kab. Kuningan,Jawa Barat,320802
5873,Cipicung,Kab. Kuningan,Jawa Barat,320821
5874,Ciwaru,Kab. Kuningan,Jawa Barat,320804
5875,Darma,Kab. Kuningan,Jawa Barat,320817
5876,Garawangi,Kab. Kuningan,Jawa Barat,320808
5877,Hantara,Kab. Kuningan,Jawa Barat,320826
5878,Jalaksana,Kab. Kuningan,Jawa Barat,320812
5879,Japara,Kab. Kuningan,Jawa Barat,320823
5880,Kadugede,Kab. Kuningan,Jawa Barat,320801
5881,Kalimanggis,Kab. Kuningan,Jawa Barat,320827
5882,Karang Kancana (Karangkancana),Kab. Kuningan,Jawa Barat,320829
5883,Kramatmulya (Kramat Mulya),Kab. Kuningan,Jawa Barat,320816
5884,Kuningan,Kab. Kuningan,Jawa Barat,320809
5885,Lebakwangi,Kab. Kuningan,Jawa Barat,320807
5886,Luragung,Kab. Kuningan,Jawa Barat,320806
5887,Maleber,Kab. Kuningan,Jawa Barat,320830
5888,Mandirancan,Kab. Kuningan,Jawa Barat,320814
5889,Nusaherang,Kab. Kuningan,Jawa Barat,320820
5890,Pancalang,Kab. Kuningan,Jawa Barat,320822
5891,Pasawahan,Kab. Kuningan,Jawa Barat,320819
5892,Selajambe,Kab. Kuningan,Jawa Barat,320815
5893,Sindang Agung (Sindangagung),Kab. Kuningan,Jawa Barat,320831
5894,Subang,Kab. Kuningan,Jawa Barat,320803
5895,Arjawinangun,Kab. Cirebon,Jawa Barat,320924
5896,Astanajapura,Kab. Cirebon,Jawa Barat,320910
5897,Babakan,Kab. Cirebon,Jawa Barat,320905
5898,Beber,Kab. Cirebon,Jawa Barat,320913
5899,Ciledug,Kab. Cirebon,Jawa Barat,320902
5900,Ciwaringin,Kab. Cirebon,Jawa Barat,320926
5901,Depok,Kab. Cirebon,Jawa Barat,320931
5902,Dukupuntang,Kab. Cirebon,Jawa Barat,320916
5903,Gebang,Kab. Cirebon,Jawa Barat,320930
5904,Gegesik,Kab. Cirebon,Jawa Barat,320928
5905,Gempol,Kab. Cirebon,Jawa Barat,320937
5906,Greged (Greget),Kab. Cirebon,Jawa Barat,320938
5907,Gunung Jati (Cirebon Utara),Kab. Cirebon,Jawa Barat,320921
5908,Jamblang,Kab. Cirebon,Jawa Barat,320940
5909,Kaliwedi,Kab. Cirebon,Jawa Barat,320929
5910,Kapetakan,Kab. Cirebon,Jawa Barat,320922
5911,Karangsembung,Kab. Cirebon,Jawa Barat,320906
5912,Karangwareng,Kab. Cirebon,Jawa Barat,320934
5913,Kedawung,Kab. Cirebon,Jawa Barat,320920
5914,Klangenan,Kab. Cirebon,Jawa Barat,320923
5915,Lemahabang,Kab. Cirebon,Jawa Barat,320907
5916,Losari,Kab. Cirebon,Jawa Barat,320903
5917,Mundu,Kab. Cirebon,Jawa Barat,320912
5918,Pabedilan,Kab. Cirebon,Jawa Barat,320904
5919,Pabuaran,Kab. Cirebon,Jawa Barat,320933
5920,Palimanan,Kab. Cirebon,Jawa Barat,320917
5921,Pangenan,Kab. Cirebon,Jawa Barat,320911
5922,Panguragan,Kab. Cirebon,Jawa Barat,320925
5923,Pasaleman,Kab. Cirebon,Jawa Barat,320932
5924,Plered,Kab. Cirebon,Jawa Barat,320936
5925,Plumbon,Kab. Cirebon,Jawa Barat,320918
5926,Sedong,Kab. Cirebon,Jawa Barat,320909
5927,Sumber,Kab. Cirebon,Jawa Barat,320915
5928,Suranenggala,Kab. Cirebon,Jawa Barat,320939
5929,Susukan,Kab. Cirebon,Jawa Barat,320927
5930,Susukan Lebak,Kab. Cirebon,Jawa Barat,320908
5931,Talun (Cirebon Selatan),Kab. Cirebon,Jawa Barat,320914
5932,Tengah Tani,Kab. Cirebon,Jawa Barat,320935
5933,Waled,Kab. Cirebon,Jawa Barat,320901
5934,Weru,Kab. Cirebon,Jawa Barat,320919
5935,Argapura,Kab. Majalengka,Jawa Barat,321005
5936,Banjaran,Kab. Majalengka,Jawa Barat,321022
5937,Bantarujeg,Kab. Majalengka,Jawa Barat,321002
5938,Cigasong,Kab. Majalengka,Jawa Barat,321020
5939,Cikijing,Kab. Majalengka,Jawa Barat,321003
5940,Cingambul,Kab. Majalengka,Jawa Barat,321023
5941,Dawuan,Kab. Majalengka,Jawa Barat,321012
5942,Jatitujuh,Kab. Majalengka,Jawa Barat,321015
5943,Jatiwangi,Kab. Majalengka,Jawa Barat,321011
5944,Kadipaten,Kab. Majalengka,Jawa Barat,321013
5945,Kasokandel,Kab. Majalengka,Jawa Barat,321024
5946,Kertajati,Kab. Majalengka,Jawa Barat,321014
5947,Lemahsugih,Kab. Majalengka,Jawa Barat,321001
5948,Leuwimunding,Kab. Majalengka,Jawa Barat,321010
5949,Ligung,Kab. Majalengka,Jawa Barat,321016
5950,Maja,Kab. Majalengka,Jawa Barat,321006
5951,Majalengka,Kab. Majalengka,Jawa Barat,321007
5952,Malausma,Kab. Majalengka,Jawa Barat,321026
5953,Palasah,Kab. Majalengka,Jawa Barat,321019
5954,Panyingkiran,Kab. Majalengka,Jawa Barat,321018
5955,Rajagaluh,Kab. Majalengka,Jawa Barat,321009
5956,Sindang,Kab. Majalengka,Jawa Barat,321025
5957,Sindangwangi,Kab. Majalengka,Jawa Barat,321021
5958,Sukahaji,Kab. Majalengka,Jawa Barat,321008
5959,Sumberjaya,Kab. Majalengka,Jawa Barat,321017
5960,Talaga,Kab. Majalengka,Jawa Barat,321004
5961,Buahdua,Kab. Sumedang,Jawa Barat,321110
5962,Cibugel,Kab. Sumedang,Jawa Barat,321104
5963,Cimalaka,Kab. Sumedang,Jawa Barat,321122
5964,Cimanggung,Kab. Sumedang,Jawa Barat,321114
5965,Cisarua,Kab. Sumedang,Jawa Barat,321123
5966,Cisitu,Kab. Sumedang,Jawa Barat,321105
5967,Conggeang,Kab. Sumedang,Jawa Barat,321107
5968,Darmaraja,Kab. Sumedang,Jawa Barat,321103
5969,Ganeas,Kab. Sumedang,Jawa Barat,321119
5970,Jatigede,Kab. Sumedang,Jawa Barat,321126
5971,Jatinangor,Kab. Sumedang,Jawa Barat,321115
5972,Jatinunggal,Kab. Sumedang,Jawa Barat,321102
5973,Pamulihan,Kab. Sumedang,Jawa Barat,321113
5974,Paseh,Kab. Sumedang,Jawa Barat,321108
5975,Rancakalong,Kab. Sumedang,Jawa Barat,321116
5976,Situraja,Kab. Sumedang,Jawa Barat,321106
5977,Sukasari,Kab. Sumedang,Jawa Barat,321112
5978,Sumedang Selatan,Kab. Sumedang,Jawa Barat,321117
5979,Sumedang Utara,Kab. Sumedang,Jawa Barat,321118
5980,Surian,Kab. Sumedang,Jawa Barat,321109
5981,Tanjungkerta,Kab. Sumedang,Jawa Barat,321120
5982,Tanjungmedar,Kab. Sumedang,Jawa Barat,321121
5983,Tanjungsari,Kab. Sumedang,Jawa Barat,321111
5984,Tomo,Kab. Sumedang,Jawa Barat,321124
5985,Ujungjaya,Kab. Sumedang,Jawa Barat,321125
5986,Wado,Kab. Sumedang,Jawa Barat,321101
5987,Anjatan,Kab. Indramayu,Jawa Barat,321223
5988,Arahan,Kab. Indramayu,Jawa Barat,321219
5989,Balongan,Kab. Indramayu,Jawa Barat,321214
5990,Bangodua,Kab. Indramayu,Jawa Barat,321206
5991,Bongas,Kab. Indramayu,Jawa Barat,321222
5992,Cantigi,Kab. Indramayu,Jawa Barat,321217
5993,Cikedung,Kab. Indramayu,Jawa Barat,321204
5994,Gabuswetan,Kab. Indramayu,Jawa Barat,321203
5995,Gantar,Kab. Indramayu,Jawa Barat,321225
5996,Haurgeulis,Kab. Indramayu,Jawa Barat,321201
5997,Indramayu,Kab. Indramayu,Jawa Barat,321215
5998,Jatibarang,Kab. Indramayu,Jawa Barat,321213
5999,Juntinyuat,Kab. Indramayu,Jawa Barat,321211
6000,Kandanghaur,Kab. Indramayu,Jawa Barat,321221
6001,Karangampel,Kab. Indramayu,Jawa Barat,321210
6002,Kedokan Bunder,Kab. Indramayu,Jawa Barat,321228
6003,Kertasemaya,Kab. Indramayu,Jawa Barat,321208
6004,Krangkeng,Kab. Indramayu,Jawa Barat,321209
6005,Kroya,Kab. Indramayu,Jawa Barat,321202
6006,Lelea,Kab. Indramayu,Jawa Barat,321205
6007,Lohbener,Kab. Indramayu,Jawa Barat,321218
6008,Losarang,Kab. Indramayu,Jawa Barat,321220
6009,Pasekan,Kab. Indramayu,Jawa Barat,321229
6010,Patrol,Kab. Indramayu,Jawa Barat,321231
6011,Sindang,Kab. Indramayu,Jawa Barat,321216
6012,Sliyeg,Kab. Indramayu,Jawa Barat,321212
6013,Sukagumiwang,Kab. Indramayu,Jawa Barat,321227
6014,Sukra,Kab. Indramayu,Jawa Barat,321224
6015,Trisi/Terisi,Kab. Indramayu,Jawa Barat,321226
6016,Tukdana,Kab. Indramayu,Jawa Barat,321230
6017,Widasari,Kab. Indramayu,Jawa Barat,321207
6018,Binong,Kab. Subang,Jawa Barat,321308
6019,Blanakan,Kab. Subang,Jawa Barat,321313
6020,Ciasem,Kab. Subang,Jawa Barat,321309
6021,Ciater,Kab. Subang,Jawa Barat,321329
6022,Cibogo,Kab. Subang,Jawa Barat,321317
6023,Cijambe,Kab. Subang,Jawa Barat,321319
6024,Cikaum,Kab. Subang,Jawa Barat,321322
6025,Cipeundeuy,Kab. Subang,Jawa Barat,321320
6026,Cipunagara,Kab. Subang,Jawa Barat,321318
6027,Cisalak,Kab. Subang,Jawa Barat,321302
6028,Compreng,Kab. Subang,Jawa Barat,321315
6029,Dawuan,Kab. Subang,Jawa Barat,321327
6030,Jalancagak,Kab. Subang,Jawa Barat,321312
6031,Kalijati,Kab. Subang,Jawa Barat,321304
6032,Kasomalang,Kab. Subang,Jawa Barat,321326
6033,Legonkulon,Kab. Subang,Jawa Barat,321321
6034,Pabuaran,Kab. Subang,Jawa Barat,321305
6035,Pagaden,Kab. Subang,Jawa Barat,321307
6036,Pagaden Barat,Kab. Subang,Jawa Barat,321328
6037,Pamanukan,Kab. Subang,Jawa Barat,321311
6038,Patokbeusi,Kab. Subang,Jawa Barat,321316
6039,Purwadadi,Kab. Subang,Jawa Barat,321306
6040,Pusakajaya,Kab. Subang,Jawa Barat,321330
6041,Pusakanagara,Kab. Subang,Jawa Barat,321310
6042,Sagalaherang,Kab. Subang,Jawa Barat,321301
6043,Serangpanjang,Kab. Subang,Jawa Barat,321323
6044,Subang,Kab. Subang,Jawa Barat,321303
6045,Sukasari,Kab. Subang,Jawa Barat,321324
6046,Tambakdahan,Kab. Subang,Jawa Barat,321325
6047,Tanjungsiang,Kab. Subang,Jawa Barat,321314
6048,Babakancikao,Kab. Purwakarta,Jawa Barat,321412
6049,Bojong,Kab. Purwakarta,Jawa Barat,321411
6050,Bungursari,Kab. Purwakarta,Jawa Barat,321413
6051,Campaka,Kab. Purwakarta,Jawa Barat,321402
6052,Cibatu,Kab. Purwakarta,Jawa Barat,321414
6053,Darangdan,Kab. Purwakarta,Jawa Barat,321406
6054,Jatiluhur,Kab. Purwakarta,Jawa Barat,321403
6055,Kiarapedes,Kab. Purwakarta,Jawa Barat,321417
6056,Maniis,Kab. Purwakarta,Jawa Barat,321407
6057,Pasawahan,Kab. Purwakarta,Jawa Barat,321410
6058,Plered,Kab. Purwakarta,Jawa Barat,321404
6059,Pondoksalam,Kab. Purwakarta,Jawa Barat,321416
6060,Purwakarta,Kab. Purwakarta,Jawa Barat,321401
6061,Sukasari,Kab. Purwakarta,Jawa Barat,321415
6062,Sukatani,Kab. Purwakarta,Jawa Barat,321405
6063,Tegalwaru (Tegal Waru),Kab. Purwakarta,Jawa Barat,321408
6064,Wanayasa,Kab. Purwakarta,Jawa Barat,321409
6065,Banyusari,Kab. Karawang,Jawa Barat,321524
6066,Batujaya,Kab. Karawang,Jawa Barat,321508
6067,Ciampel,Kab. Karawang,Jawa Barat,321504
6068,Cibuaya,Kab. Karawang,Jawa Barat,321511
6069,Cikampek,Kab. Karawang,Jawa Barat,321513
6070,Cilamaya Kulon,Kab. Karawang,Jawa Barat,321523
6071,Cilamaya Wetan,Kab. Karawang,Jawa Barat,321515
6072,Cilebar,Kab. Karawang,Jawa Barat,321530
6073,Jatisari,Kab. Karawang,Jawa Barat,321514
6074,Jayakerta,Kab. Karawang,Jawa Barat,321522
6075,Karawang Barat,Kab. Karawang,Jawa Barat,321501
6076,Karawang Timur,Kab. Karawang,Jawa Barat,321526
6077,Klari,Kab. Karawang,Jawa Barat,321505
6078,Kota Baru (Kotabaru),Kab. Karawang,Jawa Barat,321525
6079,Kutawaluya,Kab. Karawang,Jawa Barat,321507
6080,Lemahabang,Kab. Karawang,Jawa Barat,321519
6081,Majalaya,Kab. Karawang,Jawa Barat,321521
6082,Pakisjaya,Kab. Karawang,Jawa Barat,321512
6083,Pangkalan,Kab. Karawang,Jawa Barat,321502
6084,Pedes,Kab. Karawang,Jawa Barat,321510
6085,Purwasari,Kab. Karawang,Jawa Barat,321529
6086,Rawamerta,Kab. Karawang,Jawa Barat,321518
6087,Rengasdengklok,Kab. Karawang,Jawa Barat,321506
6088,Tegalwaru,Kab. Karawang,Jawa Barat,321528
6089,Telagasari (Talagasari),Kab. Karawang,Jawa Barat,321517
6090,Telukjambe Barat,Kab. Karawang,Jawa Barat,321527
6091,Telukjambe Timur,Kab. Karawang,Jawa Barat,321503
6092,Tempuran,Kab. Karawang,Jawa Barat,321520
6093,Tirtajaya,Kab. Karawang,Jawa Barat,321509
6094,Tirtamulya,Kab. Karawang,Jawa Barat,321516
6095,Babelan,Kab. Bekasi,Jawa Barat,321602
